Sr No,Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Fax,Email,Website,Nodal Officer,Contact Nodal Officer,Mobile Nodal Officer,Email Nodal Officer,Qualification Nodal Officer,Category,Blood Component Available,Apheresis,Service Time,License #,Date License Obtained,Date of Renewal,Latitude,Longitude
1623,Military Hospital Blood Bank,Nagaland,DIMAPUR,Dimapur,"Army Supply Road, Signal Bosti, Dimapur",797112,N/A,8132805695,N/A,N/A,kunal6000@yahoo.com,,Col Kunal Chaterjee,8132805695,8132805695,kunal6000@yahoo.com,"MBBS, MD",Government,NO,NO,24x7,DL/NL/03.G/B,21-09-2001,31-12-2017,0,0
2474,Jeevan Dhara Blood Bank,Uttar Pradesh,FIROZABAD,Firozabad,"8 Buddh Ashram, Bye Paas Road",283203,N/A,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,27.160557,78.398609
642,General Hospital Rewari Blood Bank,Haryana,REWARI,Rewari,"Room No. 16, Government / Civil Hospital Blood Bank,  , Kayasthwara Mohalla,",123401,"01274 253101,  01274 254 743",9416194222,,,bloodbankghrewari@gmail.com,,Dr Neetu Singh,1274253101,8130445401,neetuschaudhary.7@gmail.com,MBBS,Government,NO,NO,24X7,666,23-10-2008,Applied for renewal,28.202218,76.619789
2358,Continental Hospital Blood Bank,Telangana,RANGAREDDY,Hyderabad,"Plot No. 3, Road No. 2, IT & Financial district, Nanakramguda, Hyderabad",500035,"040 67000000, Extn: 1105",9963445607,NA,040 67225299,bloodbank@continentalhospitals.com,http://www.continentalhospitals.com,Dr. M. Upendra Srinivas,NA,8498094002,upendrasrinivas.m@continentalhospitals.com,MD (Pathology),Private,YES,YES,24x7,02/RR/AP/2013/BB/G,4/12/2013,4/11/2018,17.417886,78.339922
431,District Hospital Blood Bank,Goa,NORTH GOA,Mapusa,"District Hospital, Pedem, Mapusa, Goa",403507,0832 2253387,07507965359,NA,0832 2262211,asilolab@gmail.com,,Dr. Krupa Jog,0832 2262211,9850475464,krupsjog@gmail.com,,Government,NO,NO,12 hours  (09 am - 04.30 pm Blood Collection),888,24-02-2013,25-02-2018,15.597585,73.820198
1609,Dr. H. Gordon Roberts Hospital Blood Bank,Meghalaya,EAST KHASI HILLS,Shillong,"Jaiaw, Shillong",793002,0364 2545826,9774461158,,0364 2242197,hgrhbloodbank@gmail.com,,Dr Alvavina Tariang,9774461158,9774461158,atariang7@gmail.com,MBBS,Charity,NO,NO,24x7,15/DL/BB/MFG,1/10/2015,New License,25.584829,91.875283
1907,Kota Blood Bank Society,Rajasthan,KOTA,Kota,"Kota, 1-Basant Bihar, Dadabari, Near Modi College",324009,"0744 2402020, 0744 2402010",7442410100,,,kotabloodbank_97@rediffmail.com,http://www.kbbskota.com,Dr. Praveen Shankar Jha,0744 2402020,9214311187,pravinjha55@gmail.com,,Charity,YES,NO,24x7,RJ 1764/Dt. 21.03.97,21-03-1997,1/1/2013,25.15205,75.835195
2294,Yashoda Hospital (A Unit of Datta Chandra Hospital Pvt. Ltd.)  Blood Bank,Telangana,HYDERABAD,Secunderabad,"1-1-156/157, 9th Floor, Alexander Road, Secunderabad, Telangana",500003,"040 23319999, 040 24555555, 040 27713333",8096940111,040 67778918,040 27703999,dr.aparnasharma@yashodamail.com,http://www.yashodahospital.com,Dr. Aparna Sharma,040 67778917,8096940111,dr.aparnasharma@yashodamail.com,MD (Transfusion Medicine),Private,YES,YES,24x7,10/HD/AP/2004/BB/CC,9/1/2004,26-12-2015,17.441664,78.497002
645,General Hospital Blood Bank Sirsa,Haryana,SIRSA,Sirsa,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa",125055,"01666241155, 01666 240122","09416657072, 09416779446",,,bbghsirsa@gmail.com,,Dr. Samta,,9416657072,,MD (Pathology),Government,NO,NO,24X7,396-B(H),1994,11/9/2015,29.538977,75.014269
792,Mallya Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.2, Vittal Mallya Road",560001,080 22277979,9845043017,,9180 22121282,,http://www.mallyahospital.net,Dr SUDHINDRA SG,08022277979,9845043017,ss_964@rediffmail.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-36/97,3/3/1997,30-12-2017,12.968063,77.595068
299,District Hospital Blood Bank Baloda Bazar,Chhattisgarh,BALOD,Baloda,Baloda,,,,,,,,,,,,,Government,NO,2,,,,,0,0
2715,Bankura Sammilani Medical College and Hospital Blood Bank,West Bengal,BANKURA,Bankura,"Gobindanagar, P.O.- Kenduadihi",722102,"03242 241366, 03242 244701, 702, 703",9467159242,N/A,"03242241366, 03242-250981",moicbloodbankbsmch@gmail.com,http://bsmedicalcollege.org.in/,Dr.Sudarsan saren,,9434149948,dr.sudarsansaren@gmail.com,,Government,YES,NO,24x7,DL-35-MB/SLA/CLAA/WB,31-12-2016,1-1-2017 to 30-12-2021,23.233875,87.037024
1394,K. J. Somaiya Medical College and Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Somaiya Ayurvihar Complex, Eastern Express Highway, Sion, Mumbai",400022,"022 24024671, 022 24020946, 022 24091855",9819426169,,,,,Dr. Pradnya Kulkarni,"022 24024671, 022 24090253 (Extn. 2013)",9819426169,pradnya@somaiya.edu,"MBBS, DPB",Charity,YES,,24x7,28-C / 31,7/3/2008,Applied for renewal,19.047282,72.874706
2594,Agrawal Life Line Hospital and Trauma Centre Blood Bank,Uttar Pradesh,MATHURA,Aurangabad,"Kamdhenu Nagar, Agra Road",281006,0565 2430857,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,,,24x7,N/A,N/A,N/A,27.435244,77.701066
350,Raipur Institute of Medical Science,Chhattisgarh,RAIPUR,Raipur,"RIMS Knowledge Park, Bhansoj Road, Off NH-6,",492101,0771-3053060-88 (29 Lines),N/A,,0771- 3053089,,https://rimsindia.ac.in/,Dr C M Verma,,9009597000,vermacmo407@gmail.com,,Charity,YES,NO,24x7,CG/28-C/ 22/2013,07.08.2013,06.08.2018,21.263176,81.637035
182,Saharia&#39;s Path Lab & Blood Bank,Assam,KAMRUP,Guwahati,"Guwahati - Shillong Rd, Near Petrol Pump, ABC, Bhangagarh, Opposite Anil Plaza",781005,"0361-2458595, 0361 245 8594",9864097823,N/A,N/A,sahariabloodbank@gmail.com,,Dr. Dhiren Saharia,,9864097823,dhirensaharia@gmail.com,"MBBS, MD",Private,YES,NO,24 x 7,100/DR/Mfg/Blood,24-02-2003,2019,26.16274,91.770664
1652,"Odisha Red Cross Blood Bank, Deogarh",Odisha,DEOGARH,Deogarh,"District Head Quarters Hospital, Deogarh",768108,06641 226182,"08895039405, 0943749595",,,bbdeogarh@gmail.com,,Dr. Debadutta Monanty,,9437523046,bbdeogarh@gmail.com,,Government,NO,NO,24x7,620,5/2/1997,Applied,21.534301,84.729719
1543,Civil Surgeon - General Hospital Blood Bank,Maharashtra,SINDHUDURG,Sindhudurga,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",416812,0236 2228902,"09422416949, 08007273138",,,orosbloodbank@gmail.com,,"Dr. Avinash J. Nalawade, Dr P. Satardekar","09422416949, 08007273138",02362 228566,"satardekar_prashant@yahoo.in, orosbloodbank@gmail.com, cssindhudurg@yahoo.co.in",MD (Pathology),Government,YES,YES,24x7,KD/17,29-07-2000,31-12-2016,16.12019,73.689563
1487,KEM Hospital Blood Bank,Maharashtra,PUNE,Pune,"Sardar Moodliar Road, Rastha Peth, Pune",411001,"020 26125600, 020 66037324, 020 26125603",,,,,,Dr. Aanand Chapekar,020 66037324,9823955650,itmt.ac@gmail.com,MBBS,Charity,YES,NO,10am TO 5pm,pd/36,25-01-2015,2020,18.519784,73.866906
1197,Mohit Blood Bank Services,Madhya Pradesh,INDORE,Indore,"21-22, Ground Floor Sch.No.54, Opposite, Meghdoot Garden",452010,"0731 5003333, 0731 2552833, 0731 2552844, 0731 2551850",,,,,,,,,,,,,,,,,,0,0
1472,Shri Krishna Blood Bank,Maharashtra,OSMANABAD,Omerga,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad",413606,"02457 252004, 02457 252232, 02457 252469",9422069904,,,dr.dbpatange@yahoo.com,,Dr. Damodar B. Patange,02457 252004,9422069904,dr.dbpatange@yahoo.com,"MS, FICS",Charity,YES,NO,24x7,AD/BB/003,10/8/1996,31-12-2016,17.83503,76.622149
2311,"Indian Red Cross Society Jagityal, Blood Bank",Telangana,KARIMNAGAR,JAGTIAL,"District Headquarters Hospital JAGTIAL , First Floor, Old Bus Stand",505327,9441290111,9440026445,,,rch2bloodbankahjagtial@gmail.com,,Dr. P. Shankaraiah,,9440026445,rch2jgtl@gmail.com,MBBS,Charity,YES,NO,24x7,14/KN/AP/2007/BB/R,8/1/2007,31-07-2017,18.438555,79.128841
316,M/s Shri Shankaracharya Blood Bank,Chhattisgarh,DURG,Bhilai,"Shankaracharya Institute of Medical Sciences, Junwani",,,9893787838,,,,,David Lal,9893787838,9893787838,,,Charity,,,,,,,0,0
618,Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,Haryana,KAITHAL,Kaithal,"NH-152, Village-Ujhana, Ambala Road, Kaithal",,,,,,hims.ktl@gmail.com,,,,,,,Private,,,,,,,29.844728,76.441361
1555,Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,Maharashtra,SOLAPUR,Solapur,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur",413304,"02186 223650, 02186 222219",9822259951,,,bajajbloodbank@gmail.com,,Dr. Khiste Anand R.,"02186 223650, 02186 222219",9422462846,"bajajbloodbank@gmail.com, bajajbloodbank@gmail.com",MD (Pathology),Charity,YES,NO,24x7,843 (28),27-10-1986,31-12-2016,17.562936,75.265589
2433,District Hospital Blood Bank,Uttar Pradesh,BALLIA,Ballia,District Hospital Blood Bank,277001,N/A,8382957867,N/A,N/A,N/A,,Dr. Mohamad Iqbal,8382957867,8382957867,N/A,MD (Pathology),Government,NO,NO,24x7,15/SC of /1999,2/8/1999,31-12-2012,25.750805,84.147468
844,Holy Cross Hospital Blood Bank,Karnataka,CHAMARAJANAGAR,Kollegal,"Kamagere , Kolegala Taluk, Chamaraja Nagar",571443,08226 263116,9535813053,,08224 263348,,http://www.holrcrosskamagere.org,Dr. Shivu P,08226 263116,9535813053,shivap183@gmail.com,MBBS,Private,NO,NO,24x7,KTK/28C/224/2009,3/12/2009,2/12/2019,12.12938,77.233586
1653,"Odisha Red Cross Blood Bank, Dhenkanal",Odisha,DHENKANAL,Dhenkanal,District Head Quarters Hospital,759001,06762 221388,9439123301,,,rbbdhenkanal@gmail.com,,Dr. Mina Kumari Diwari,,9439123301,,MBBS,Charity,NO,NO,24x7,640,1997,31-12-2017,20.663314,85.597065
2174,KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"No. 6 Royal Road, Cantonment, Trichy",620001,"0431 4077777, (Ex.2508)","09443965512, 09443076418",N/A,0431 2415402 (Hospital),Einfo@kauveryhospital.com,http://www.kauveryhospital.com,Dr. S. Sivamani,9443965512,9443076418,Einfo@kauveryhospital.com,MBBS,Private,YES,YES,24x7,6/28 C,23-10-2008,24-10-2013 to 23-10-2018,10.802301,78.680138
2022,Neyveli Lignite Corporation,Tamil Nadu,CUDDALORE,Neyveli,"NH532, M.K Colony, Neyveli, Tamil Nadu",607802,"04142 2522784, 04142 28364613",9791557028,N/A,04142 252784,nlcghbloodbank@gmail.com,http://www.nlcindia.com,Dr. Srinivas Suyamprakash,N/A,9443051569,path24ssp@yahoo.co.in,"MBBS, MD ( Pathology)",Government,NO,NO,24x7,129,20-05-1997,31-12-2017,11.537043,79.467181
390,Saroj Super Speciality Hospital  Blood Bank,Delhi,NORTH WEST DELHI,Delhi,"Saroj Super Speciality Hospital (Run by Ganesh Das Chowla Charitable Trust-Regd.), Sector-14, Rohini, Madhuban Chowk",110085,"011 47903333, 011 27903276",9818442406,,,rbansal1970@yahoo.com,http://www.sarojhospital.com,Dr. Reena Bansal,"01147903333 , 01127903276",9818442406,rbansal1970@yahoo.com,MBBS,Private,YES,YES,24x7,1898,16.05.2011,15.05.2016,28.70612,77.129045
1935,Geetanjali Medical College and Hospital Blood Bank,Rajasthan,UDAIPUR,Udaipur,"Hiranmagri Extension, Manwakhera NH-8 Bypass, Near Eklingpura Chouraha",313002,"0294 2500000, 0294 2500008","09461467755, 09414328867",0294-2500000-06,0294-2500007,surendrasingh_82@yahoo.com,http://www.geetanjalihospital.co.in/index.html,Dr. Arjun Lal Jain,,9461467755,surendrasingh_82@yahoo.com,MD,Charity,YES,YES,24x7,raj2363,2013,28-01-2018,24.553352,73.731888
693,SNM Hospital Blood Bank,Jammu and Kashmir,LEH LADAKH,Leh,"SNM Hospital, Main Bazar, Leh",194101,01982 252014,9622181045,,,,,Dr. Sonam Angmo,9419219750,9419219750,sonamangmo61@yahoo.in,MD (Pathology),Government,NO,NO,24X7,JK.02/05.06.101,14-01-2011,Under Process,34.153795,77.580209
1641,"Odisha Red Cross Blood Bank, SDH, Titlagarh",Odisha,BALANGIR,Titlagarh,"Sub-Divisional Hospital,Titlagarh, At/Po/Ps- Titlagarh,  Balangir",767033,06655 220318,9438337291,,,bloodbanktitlagarh@gmail.com,,Dr Krishna Chandra Pal,,9438337291,drkcp66@gmail.com,,Government,NO,NO,24x7,789,01.-09-2007,31-08-2012,20.2894944,83.1516406
2430,District Combined Hospital Blood Bank,Uttar Pradesh,BAGHPAT,Baghpat,"Bhajan Vihar, Baghpat",250609,,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,28.946386,77.21707
916,Cauvery Hospital Blood Bank,Karnataka,Mysore,Mysore,"No.42/2B, 2C, Teresian College Circle, Siddarth Nagar",570011,0821 2425000,,9742525000,,,http://www.cauveryhospital.org/,Dr. Rashmi B.K.,0821 2425000,,bloodbank@cauveryhospital.org,MBBS,Private,,,24x7,,,,12.30509,76.695813
867,K. V. G Medical College Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Sullia,Kurinji Bag,574327,0824 230326,9343719508,,08257 233408,,http://www.kvgmedcollege.org/,Dr. Mahantha Devaru,0824 230326,9343719508,kvgmede@yahoo.com,Pathologist,Private,YES,NO,24x7,KTK/28C-163/2003,8/8/2003,7/8/2018,12.55332,75.384249
1803,Fortis Hospital Blood Bank,Punjab,LUDHIANA,Ludhiana,"6kms from Samrala Chowk, Chandigarh Road, Mundian Kalan Village, Near Radha Soami Satsang Bhavan,",141015,1615222333,7087431444,7087431444,0161 5222215,bloodbank.ldh@fortishealthcare.com,http://www.fortishealthcare.com/india/hospitals-in-punjab/fortis-hospital-ludhiana#.VNCFkFR7jUY,Dr. Heenakshi Sharma,01615 222333,9646860011,heenakshi.sharma@fortishealthcare.com,MD (Pathology),Private,YES,YES,24x7,1909-B,25-05-2015,24-05-2020,30.889292,75.935144
2689,AIIMS Rishikesh,Uttarakhand,DEHRADUN,Rishikesh,"Virbhadra Marg, Pashulok, Rishikesh.",249 201,0135 2462967,,,,,,Dr. Nilotpal Chowdhury,0135 2462967,,"nilotpal.chowdhury@gmail.com,transfusionmedicineris@gmail.com",,Government,YES,NO,24*7,,,,0,0
1212,Index Medical College Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,"104, Trishul Apartment, 5, Sanghi Colony, Opposite to Amaltas Hotel, A.B. Road",462008,0731 4215757,9752538454,,0731 4044715,,,,,,,,,,,,,,,22.732016,75.888857
26,M/s. A.P.V.V.P Area Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,NA,"09505152234, 09491219991",NA,NA,NA,,Dr. G. Karnal Raju,NA,09989106236,bloodbankahamp@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,8/EG/AP/2006/BB/G,28.08.2006,28.08.2019,16.575367,81.998101
292,P.N.H Mahatma Budh Educational and Research Centre Blood Bank,Bihar,SIWAN,Siwan,"Mahatma Budh Educational and Research Centre, situated at Popular Nursing Home, East of Gandhi Maidan",841226,06154 245245,"09852032870, 09430523283",,,jitesh000123@gmail.com,,Dr. Mukti Nath Singh,,"09934923283, 07783006060",bloodbankpnhsiwan24@gmail.com,,Charity,NO,,N/A,BR-01(N) /2014,05.05.2014,04.05.2019,0,0
2764,B.R. Singh Hospital Blood Bank,West Bengal,KOLKATA,Kolkata,"Eastern Railway, Sealdah",700014,033 23523679,9434176999,N/A,N/A,,,,9434176999,,,,Government,NO,,24x7,DL-61-MB/SLA/CLAA/WB,31-12-1996,2012-16 (R),22.565712,88.370758
219,Tinsukia Civil Hospital Blood Bank,Assam,TINSUKIA,Tinsukia,"Bordoloi Nagar, Tinsukia",786125,0374 2308343,8876262939,,N/A,bloodbanktinsukia@gmail.com,,Dr. Mridul Gogoi,0374 2300044,9435528636,bloodbanktinsukia@gmail.com,"MBBS,MD",Government,NO,NO,24 x 7,96/DR/Mfg/Blood,10/12/2013,9/12/2018,27.498632,95.358861
2233,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Telangana,ADILABAD,Adilabad,"Teachers Colony, Near State Bank of Hyderabad, Ground Floor, IP Block, Govt. District Head Quarters Hopsital Premises",504001,8732224108,9849905223,,,"surya111199@yahoo.com, bbrimsadb@gmail.com",,Dr.Sridhar Reddy,,,bbrimsadb@gmail.com,,Government,YES,,24x7,,,,19.664144,78.524732
2525,Government Medical College and Hospital Blood Bank,Uttar Pradesh,JALAUN,Orai,"Government Medical College and Hospital, Orai",285001,05162 210201,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Government,,,24x7,N/A,N/A,N/A,25.999845,79.473401
246,Sadar Hospital Lakhisarai Blood Bank,Bihar,LAKHISARAI,Lakhisarai,"Jamui - Lakhisarai Road, Jamui",811311,6346232267,"09431418374, 09304065264",,,,,Dr. Rakesh Kumar,N/A,9431418374,bloodbanklak@gmail.com,N/A,Government,NO,,N/A,89(N)/04,5/10/2004,04.10.2009,0,0
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,"0883 2464745, 0883 246569878, 0883 2461493",NA,NA,NA,NA,,Dr. M. C. Ramesh,NA,09642359555,swantantrabbrjy@gmail.com,MBBS,Private,NO,NO,24x7,127/EG/AP/98/BB/R,21.01.1992,04.12.2018,0,0
723,Hazaribag Sadar Hospital Blood Bank,Jharkhand,HAZARIBAGH,Hazaribagh,"Blood Bank, Sadar Hospital Campus Hazaribag",825301,06546 265289,"08092769023, 08969231140",,,r.khairihzb@gmail.com,,Dr. K.P Singhi,06546 265289,7870306372,r.khairihzb@gmail.com,MBBS,Government,NO,NO,24X7,JH/BB/06/2003,16-10-2003,15-10-2008 (Pending),23.997502,85.3564179
2738,Cooch Behar Municipality Hospital Blood Bank,West Bengal,Cooch Behar,Cooch Behar,"Cooch Behar Municipality Building (Ground Floor), Near Sagar Dighi, Po - Cooch Behar",736101,03582 222286,,,,chairmancbm@gmail.com,,Dr Jayanta Kr Mohanta,,9923352879,,,Government,NO,NO,24x7,DL-90-MB/SLA/CLAA/WB,21-07-1999,31-12-2012,26.3193973,89.4406897
733,"Heavy Engineering Corporation, Plant Hospital Blood Bank",Jharkhand,RANCHI,Ranchi,"Sector III, HEC Campus, Opposite JSCA Stadium, Ranchi",834004,0651 2444336,9835539866,,,cmo@heclltd.com,,Dr. (Mrs.) Anulekha Mukherjee,0651 2444336,9835539866,"dramukherjee@hecltd.com, cmo@heclltd.com","MD, DCP",Government,NO,NO,24X7,JH/BB/1289/1997,12/8/1997,31-12-2017,23.313367,85.277743
1941,Government General Hospital Blood Bank,Sikkim,SOUTH Sikkim,Namchi,"Namchi District Hospital, Hospital Road, Namchi",737126,03595 264544,7797895320,,,anjurai100@gmail.com,,Dr. Anju Rai,7797895320,7797895320,anjurai100@gmail.com,MBBS,Government,NO,NO,24x7,M/377/BB/2K,24-10-2000,31-12-2016,27.165618,88.360388
2198,Revathy Medical Centre Blood Bank,Tamil Nadu,TIRUPPUR,Thiruppur,"No 10, CKP Layout 4th Floor, Valayankadu Main Road, Kumar Nagar (West) Avinashi Road, Tiruppur",614603,0421 4332211,"09842247997, 09842233335",N/A,0421 4332211,revathimedicalcenter@gmail.com,http://www.revathimedicalcenter.com,Dr. R. Eswaramurthi,,9842247997,revathimedicalcenter@gmail.com,MBBS,Private,YES,NO,24x7,289/28 C,7/5/2008,07-05-2013 to 06-06-2018,11.120178,77.32933
61,Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,0866 2433199,9392120187,,,vijayasribloodbankvja @gmail.com,,Dr.T.Gopala Krishna Murthy,9392120187,9701233199,drtgopalakrishnamurthy @yahoo.com,MBBS,Charity,YES,YES,24x7,14/KR/AP/2005/BB/CP,29-4-2013,28-4-18,16.51304,80.635644
1187,Society of Saint Joseph Hospital Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,"Housing Board Road, Hoshangabad",461001,0757 4257835,,,,,,,,,,,,,,,,,,0,0
